Jamie McGuire,Beautiful Disaster,4.02,664650,https://www.goodreads.com/author/show/4464118.Jamie_McGuire
E.L. James,Fifty Shades of Grey,3.66,2483536,https://www.goodreads.com/author/show/4725841.E_L_James
Colleen Hoover,Hopeless,4.27,495535,https://www.goodreads.com/author/show/5430144.Colleen_Hoover
John Green,The Fault in Our Stars,4.14,4882040,https://www.goodreads.com/author/show/1406384.John_Green
Veronica Roth,Divergent,4.15,3787640,https://www.goodreads.com/author/show/4039811.Veronica_Roth
Colleen Hoover,Slammed,4.19,320926,https://www.goodreads.com/author/show/5430144.Colleen_Hoover
S.C. Stephens,Effortless,4.35,115404,https://www.goodreads.com/author/show/4372391.S_C_Stephens
Tammara Webber,Easy,4.08,226462,https://www.goodreads.com/author/show/4826501.Tammara_Webber
Sylvia Day,Bared to You,4.15,515847,https://www.goodreads.com/author/show/19823.Sylvia_Day
S.C. Stephens,Thoughtless,4.09,139272,https://www.goodreads.com/author/show/4372391.S_C_Stephens
Suzanne Collins,The Hunger Games,4.33,8158408,https://www.goodreads.com/author/show/153394.Suzanne_Collins
Jennifer L. Armentrout,Obsidian,4.14,276363,https://www.goodreads.com/author/show/4476934.Jennifer_L_Armentrout
J.A. Redmerski,The Edge of Never,4.22,147762,https://www.goodreads.com/author/show/5437976.J_A_Redmerski
Abbi Glines,Fallen Too Far,4.16,171094,https://www.goodreads.com/author/show/4872191.Abbi_Glines
Jamie McGuire,Walking Disaster,4.16,193248,https://www.goodreads.com/author/show/4464118.Jamie_McGuire
Cassandra Clare,City of Bones,4.08,1944815,https://www.goodreads.com/author/show/150038.Cassandra_Clare
Samantha Young,On Dublin Street,4.16,195482,https://www.goodreads.com/author/show/4167378.Samantha_Young
Cassandra Clare,Clockwork Angel,4.31,809140,https://www.goodreads.com/author/show/150038.Cassandra_Clare
Jane Austen,Pride and Prejudice,4.28,4047706,https://www.goodreads.com/author/show/1265.Jane_Austen
Stephanie Perkins,Anna and the French Kiss,3.98,444431,https://www.goodreads.com/author/show/3095893.Stephanie_Perkins
Becca Fitzpatrick,Hush, Hush,3.93,685916,https://www.goodreads.com/author/show/2876763.Becca_Fitzpatrick
Richelle Mead,Vampire Academy,4.11,632744,https://www.goodreads.com/author/show/137902.Richelle_Mead
Alice Clayton,Wallbanger,3.99,204130,https://www.goodreads.com/author/show/3379564.Alice_Clayton
E.L. James,Fifty Shades Freed,3.84,829805,https://www.goodreads.com/author/show/4725841.E_L_James
Sylvain Reynard,Gabriel's Inferno,3.98,156499,https://www.goodreads.com/author/show/4562483.Sylvain_Reynard
Sylvia Day,Reflected in You,4.30,344604,https://www.goodreads.com/author/show/19823.Sylvia_Day
E.L. James,Fifty Shades Darker,3.83,875337,https://www.goodreads.com/author/show/4725841.E_L_James
Simone Elkeles,Perfect Chemistry,4.04,258165,https://www.goodreads.com/author/show/274533.Simone_Elkeles
Stephenie Meyer,Twilight,3.64,6276821,https://www.goodreads.com/author/show/941441.Stephenie_Meyer
Jessica Sorensen,The Coincidence of Callie & Kayden,4.16,115601,https://www.goodreads.com/author/show/4601855.Jessica_Sorensen
Stephenie Meyer,The Twilight Saga,3.92,117802,https://www.goodreads.com/author/show/941441.Stephenie_Meyer
Kirsty Moseley,The Boy Who Sneaks in My Bedroom Window,3.85,75347,https://www.goodreads.com/author/show/5434809.Kirsty_Moseley
J. Lynn,Wait for You,4.15,160281,https://www.goodreads.com/author/show/699143.J_Lynn
Colleen Hoover,Point of Retreat,4.18,207807,https://www.goodreads.com/author/show/5430144.Colleen_Hoover
Stephenie Meyer,The Host,3.86,986751,https://www.goodreads.com/author/show/941441.Stephenie_Meyer
Tina Reber,Love Unscripted,4.02,67970,https://www.goodreads.com/author/show/3980637.Tina_Reber
Gayle Forman,If I Stay,3.92,872532,https://www.goodreads.com/author/show/295178.Gayle_Forman
Abbi Glines,The Vincent Boys,3.95,74110,https://www.goodreads.com/author/show/4872191.Abbi_Glines
Abbi Glines,Never Too Far,4.17,120484,https://www.goodreads.com/author/show/4872191.Abbi_Glines
Samantha Towle,The Mighty Storm,4.15,73083,https://www.goodreads.com/author/show/4838933.Samantha_Towle
Lauren Oliver,Delirium,3.95,460334,https://www.goodreads.com/author/show/2936493.Lauren_Oliver
Katja Millay,The Sea of Tranquility,4.29,85491,https://www.goodreads.com/author/show/6466759.Katja_Millay
Suzanne Collins,Catching Fire,4.31,3331448,https://www.goodreads.com/author/show/153394.Suzanne_Collins
Jessica Sorensen,The Secret of Ella and Micha,3.99,70672,https://www.goodreads.com/author/show/4601855.Jessica_Sorensen
Jay Crownover,Rule,4.12,99335,https://www.goodreads.com/author/show/6875794.Jay_Crownover
Rebecca    Donovan,Reason to Breathe,4.21,92125,https://www.goodreads.com/author/show/4907787.Rebecca_Donovan
Molly McAdams,Taking Chances,3.85,46873,https://www.goodreads.com/author/show/6436698.Molly_McAdams
Jennifer L. Armentrout,Onyx,4.24,177671,https://www.goodreads.com/author/show/4476934.Jennifer_L_Armentrout
Michelle Leighton,Down to You,4.03,66240,https://www.goodreads.com/author/show/1152263.Michelle_Leighton
Abbi Glines,While It Lasts,4.22,56838,https://www.goodreads.com/author/show/4872191.Abbi_Glines
Cora Carmack,Losing It,3.72,106667,https://www.goodreads.com/author/show/6535659.Cora_Carmack
Maggie Stiefvater,Shiver,3.76,473622,https://www.goodreads.com/author/show/1330292.Maggie_Stiefvater
Jeaniene Frost,Halfway to the Grave,4.13,155270,https://www.goodreads.com/author/show/669810.Jeaniene_Frost
Cherrie Lynn,Rock Me,4.07,45998,https://www.goodreads.com/author/show/3190428.Cherrie_Lynn
Lauren Kate,Fallen,3.72,572033,https://www.goodreads.com/author/show/2905297.Lauren_Kate
Katie McGarry,Pushing the Limits,4.05,121487,https://www.goodreads.com/author/show/4575371.Katie_McGarry
Cassandra Clare,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,4.55,67850,https://www.goodreads.com/author/show/150038.Cassandra_Clare
R.L. Mathewson,Playing for Keeps,4.03,113204,https://www.goodreads.com/author/show/4586597.R_L_Mathewson
J.R. Ward,Lover Awakened,4.44,177553,https://www.goodreads.com/author/show/20248.J_R_Ward
Jennifer L. Armentrout,Opal,4.25,148468,https://www.goodreads.com/author/show/4476934.Jennifer_L_Armentrout
Abbi Glines,Existence,3.93,61710,https://www.goodreads.com/author/show/4872191.Abbi_Glines
Kristin Cashore,Graceling,4.07,449656,https://www.goodreads.com/author/show/1373880.Kristin_Cashore
Abbi Glines,Breathe,3.85,82926,https://www.goodreads.com/author/show/4872191.Abbi_Glines
Richelle Mead,Bloodlines,4.20,183376,https://www.goodreads.com/author/show/137902.Richelle_Mead
Jennifer L. Armentrout,Half-Blood,4.10,100088,https://www.goodreads.com/author/show/4476934.Jennifer_L_Armentrout
Nicole  Williams,Clash,4.14,46453,https://www.goodreads.com/author/show/4887264.Nicole_Williams
Sylvain Reynard,Gabriel's Rapture,4.21,113888,https://www.goodreads.com/author/show/4562483.Sylvain_Reynard
